name	tdl	sym	uniprot	chr
6-phosphogluconate dehydrogenase, decarboxylating	Tchem	PGD	P52209	1p36.22
6-phosphogluconolactonase	Tbio	PGLS	O95336	19p13.2
Putative alpha-1-antitrypsin-related protein	Tdark	SERPINA2	P20848	14q32.13
Ankyrin repeat domain-containing protein 20A4	Tdark	ANKRD20A4	Q4UJ75	9q13
Uncharacterized protein ADAMTSL4-AS1	Tdark	ADAMTSL4-AS1	Q5T5F5	1q21.2
Amyloid-beta A4 protein	Tchem	APP	P05067	21q21.3
Adenosine receptor A1	Tclin	ADORA1	P30542	1q32.1
Adenosine receptor A2b	Tclin	ADORA2B	P29275	17p12
Adenosine receptor A3	Tchem	ADORA3	P0DMS8	1p13.2
Neuronal acetylcholine receptor subunit beta-3	Tchem	CHRNB3	Q05901	8p11.21
Actin-like protein 7B	Tbio	ACTL7B	Q9Y614	9q31.3
Muscarinic acetylcholine receptor M1	Tclin	CHRM1	P11229	11q12.3
Acid phosphatase type 7	Tdark	ACP7	Q6ZNF0	19q13.2
Acidic repeat-containing protein	Tbio	GCNA	Q96QF7	Xq13.1
Acyl-coenzyme A synthetase ACSM2A, mitochondrial	Tbio	ACSM2A	Q08AH3	16p12.3
Acetyl-coenzyme A synthetase 2-like, mitochondrial	Tbio	ACSS1	Q9NUB1	20p11.21
Acyl-CoA synthetase family member 3, mitochondrial	Tbio	ACSF3	Q4G176	16q24.3
Long-chain-fatty-acid--CoA ligase 5	Tbio	ACSL5	Q9ULC5	10q25.2
Acyl-coenzyme A synthetase ACSM1, mitochondrial	Tbio	ACSM1	Q08AH1	16p12.3
Acyl-coenzyme A synthetase ACSM3, mitochondrial	Tbio	ACSM3	Q53FZ2	16p12.3
Beta-actin-like protein 2	Tbio	ACTBL2	Q562R1	5q11.2
Putative beta-actin-like protein 3	Tdark	POTEKP	Q9BYX7	2q21.1
Actin-like protein 8	Tdark	ACTL8	Q9H568	1p36.13
Alpha-actinin-1	Tbio	ACTN1	P12814	14q24.1
Alpha-actinin-2	Tbio	ACTN2	P35609	1q43
Activin receptor type-1	Tchem	ACVR1	Q04771	2q24.1
Aminoacylase-1	Tbio	ACY1	Q03154	3p21.2
N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)	Tbio	ACY3	Q96HD9	11q13.2
Disintegrin and metalloproteinase domain-containing protein 10	Tchem	ADAM10	O14672	15q21.3
Disintegrin and metalloproteinase domain-containing protein 11	Tbio	ADAM11	O75078	17q21.31
Disintegrin and metalloproteinase domain-containing protein 17	Tchem	ADAM17	P78536	2p25.1
Disintegrin and metalloproteinase domain-containing protein 19	Tbio	ADAM19	Q9H013	5q33.3
Alpha-1D adrenergic receptor	Tclin	ADRA1D	P25100	20p13
Disintegrin and metalloproteinase domain-containing protein 20	Tdark	ADAM20	O43506	14q24.2
Disintegrin and metalloproteinase domain-containing protein 21	Tdark	ADAM21	Q9UKJ8	14q24.2
Disintegrin and metalloproteinase domain-containing protein 29	Tbio	ADAM29	Q9UKF5	4q34.1
Alpha-2A adrenergic receptor	Tclin	ADRA2A	P08913	10q25.2
tRNA-specific adenosine deaminase 2	Tbio	ADAT2	Q7Z6V5	6q24.2
Probable inactive tRNA-specific adenosine deaminase-like protein 3	Tdark	ADAT3	Q96EY9	19p13.3
Adenosine deaminase	Tclin	ADA	P00813	20q13.12
Uncharacterized aarF domain-containing protein kinase 2	Tbio	ADCK2	Q7Z695	7q34
Uncharacterized aarF domain-containing protein kinase 5	Tdark	ADCK5	Q3MIX3	8q24.3
Arylacetamide deacetylase-like 3	Tdark	AADACL3	Q5VUY0	1p36.21
Adenylate cyclase type 5	Tchem	ADCY5	O95622	3q21.1
Alcohol dehydrogenase 6	Tbio	ADH6	P28332	4q23
Adipogenesis regulatory factor	Tbio	ADIRF	Q15847	10q23.2
Adenosine kinase	Tchem	ADK	P55263	10q22.2
Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase	Tdark	ADPRM	Q3LIE5	17p13.1
Beta-2 adrenergic receptor	Tclin	ADRB2	P07550	5q32
Adrenodoxin, mitochondrial	Tbio	FDX1	P10109	11q22.3
Adipocyte enhancer-binding protein 1	Tbio	AEBP1	Q8IUX7	7p13
Apoptosis-enhancing nuclease	Tbio	AEN	Q8WTP8	15q26.1
Afadin	Tbio	AFDN	P55196	6q27
Putative uncharacterized protein encoded by AGPAT4-IT1	Tdark	AGPAT4-IT1	Q9H0P7	6q26
Protein argonaute-1	Tbio	AGO1	Q9UL18	1p34.3
Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 14	Tdark	AGAP14P	A8MT82	10q11.22
14-3-3 protein beta/alpha	Tchem	YWHAB	P31946	20q13.12
HLA class I histocompatibility antigen, B-57 alpha chain	Tbio	HLA-B	P18465	6p21.33
HLA class I histocompatibility antigen, B-67 alpha chain	Tbio	HLA-B	Q29836	6p21.33
HLA class I histocompatibility antigen, Cw-2 alpha chain	Tbio	HLA-C	P30501	6p21.33
HLA class I histocompatibility antigen, Cw-3 alpha chain	Tbio	HLA-C	P04222	6p21.33
HLA class I histocompatibility antigen, Cw-4 alpha chain	Tbio	HLA-C	P30504	6p21.33
HLA class I histocompatibility antigen, Cw-5 alpha chain	Tbio	HLA-C	Q9TNN7	6p21.33
HLA class I histocompatibility antigen, Cw-6 alpha chain	Tbio	HLA-C	Q29963	6p21.33
HLA class I histocompatibility antigen, Cw-7 alpha chain	Tbio	HLA-C	P10321	6p21.33
HLA class I histocompatibility antigen, Cw-15 alpha chain	Tbio	HLA-C	Q07000	6p21.33
HLA class I histocompatibility antigen, Cw-18 alpha chain	Tbio	HLA-C	Q29865	6p21.33
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform	Tbio	PPP2R2B	Q00005	5q32
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform	Tbio	PPP2R2D	Q66LE6	10q26.3
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform	Tbio	PPP2R2C	Q9Y2T4	4p16.1
HLA class II histocompatibility antigen, DRB1-7 beta chain	Tbio	HLA-DRB1	P13761	6p21.32
HLA class II histocompatibility antigen, DRB1-16 beta chain	Tbio	HLA-DRB1	Q29974	6p21.32
5-hydroxytryptamine receptor 1D	Tclin	HTR1D	P28221	1p36.12
5-hydroxytryptamine receptor 2A	Tclin	HTR2A	P28223	13q14.2
5-hydroxytryptamine receptor 3A	Tclin	HTR3A	P46098	11q23.2
5-hydroxytryptamine receptor 3B	Tchem	HTR3B	O95264	11q23.2
5-hydroxytryptamine receptor 3C	Tchem	HTR3C	Q8WXA8	3q27.1
5-hydroxytryptamine receptor 3D	Tchem	HTR3D	Q70Z44	3q27.1
5-hydroxytryptamine receptor 3E	Tchem	HTR3E	A5X5Y0	3q27.1
5-hydroxytryptamine receptor 5A	Tchem	HTR5A	P47898	7q36.2
5-hydroxytryptamine receptor 7	Tclin	HTR7	P34969	10q23.31
Cytosolic purine 5'-nucleotidase	Tbio	NT5C2	P49902	10q24.32-q24.33
6.8 kDa mitochondrial proteolipid	Tbio	ATP5MPL	P56378	14q32.33
Neuroendocrine protein 7B2	Tbio	SCG5	P05408	15q13.3
5'-AMP-activated protein kinase subunit gamma-3	Tbio	PRKAG3	Q9UGI9	2q35
Aspartate aminotransferase, cytoplasmic	Tbio	GOT1	P17174	10q24.2
Protein AATF	Tbio	AATF	Q9NY61	17q12
Protein ABHD17B	Tbio	ABHD17B	Q5VST6	9q21.13
Protein ABHD17C	Tbio	ABHD17C	Q6PCB6	15q25.1
DNA dC->dU-editing enzyme APOBEC-3B	Tbio	APOBEC3B	Q9UH17	22q13.1
DNA dC->dU-editing enzyme APOBEC-3C	Tbio	APOBEC3C	Q9NRW3	22q13.1
DNA dC->dU-editing enzyme APOBEC-3G	Tbio	APOBEC3G	Q9HC16	22q13.1
ATP-binding cassette sub-family A member 2	Tbio	ABCA2	Q9BZC7	9q34.3
ATP-binding cassette sub-family A member 3	Tbio	ABCA3	Q99758	16p13.3
ATP-binding cassette sub-family A member 7	Tbio	ABCA7	Q8IZY2	19p13.3
ATP-binding cassette sub-family A member 8	Tbio	ABCA8	O94911	17q24.2
ATP-binding cassette sub-family A member 9	Tdark	ABCA9	Q8IUA7	17q24.2
ATP-binding cassette sub-family A member 10	Tdark	ABCA10	Q8WWZ4	17q24.3
ATP-binding cassette sub-family A member 12	Tbio	ABCA12	Q86UK0	2q35
ATP-binding cassette sub-family A member 13	Tbio	ABCA13	Q86UQ4	7p12.3
ATP-binding cassette sub-family B member 8, mitochondrial	Tbio	ABCB8	Q9NUT2	7q36.1
Bile salt export pump	Tchem	ABCB11	O95342	2q31.1
ATP-binding cassette sub-family D member 2	Tbio	ABCD2	Q9UBJ2	12q12
ATP-binding cassette sub-family E member 1	Tbio	ABCE1	P61221	4q31.21
ATP-binding cassette sub-family G member 1	Tbio	ABCG1	P45844	21q22.3
Abelson tyrosine-protein kinase 2	Tchem	ABL2	P42684	1q25.2
Short-chain specific acyl-CoA dehydrogenase, mitochondrial	Tbio	ACADS	P16219	12q24.31
Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1	Tbio	ACAP1	Q15027	17p13.1
Acetyl-coenzyme A transporter 1	Tchem	SLC33A1	O00400	3q25.31
Long-chain-fatty-acid--CoA ligase ACSBG1	Tbio	ACSBG1	Q96GR2	15q25.1
Adrenocortical dysplasia protein homolog	Tbio	ACD	Q96AP0	16q22.1
Alkaline ceramidase 1	Tbio	ACER1	Q8TDN7	19p13.3
Alkaline ceramidase 3	Tbio	ACER3	Q9NUN7	11q13.5
Acetylcholinesterase	Tclin	ACHE	P22303	7q22.1
Neuronal acetylcholine receptor subunit alpha-2	Tchem	CHRNA2	Q15822	8p21.2
Neuronal acetylcholine receptor subunit alpha-5	Tbio	CHRNA5	P30532	15q25.1
Neuronal acetylcholine receptor subunit beta-2	Tclin	CHRNB2	P17787	1q21.3
Apoptotic chromatin condensation inducer in the nucleus	Tbio	ACIN1	Q9UKV3	14q11.2
Actin-like protein 7A	Tbio	ACTL7A	Q9Y615	9q31.3
Muscarinic acetylcholine receptor M2	Tclin	CHRM2	P08172	7q33
Muscarinic acetylcholine receptor M4	Tclin	CHRM4	P08173	11p11.2
Cytoplasmic aconitate hydratase	Tbio	ACO1	P21399	9p21.1
Acyl-CoA desaturase	Tchem	SCD	O00767	10q24.31
Acyl-coenzyme A thioesterase 4	Tbio	ACOT4	Q8N9L9	14q24.3
Acyl carrier protein, mitochondrial	Tclin	NDUFAB1	O14561	16p12.2
Acrosin	Tchem	ACR	P10323	22q13.33
Acyl-CoA synthetase family member 4	Tdark	AASDH	Q4L235	4q12
Actin, aortic smooth muscle	Tbio	ACTA2	P62736	10q23.31
Actin, alpha skeletal muscle	Tbio	ACTA1	P68133	1q42.13
Actin-related protein T1	Tdark	ACTRT1	Q8TDG2	Xq25
Actin-related protein T2	Tdark	ACTRT2	Q8TDY3	1p36.32
Actin-related protein T3	Tdark	ACTRT3	Q9BYD9	3q26.2
Alpha-centractin	Tbio	ACTR1A	P61163	10q24.32
Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	Tbio	PPP2R5D	Q14738	6p21.1
Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform	Tbio	PPP2R5E	Q16537	14q23.2
Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform	Tbio	PPP2R5C	Q13362	14q32.31
HLA class II histocompatibility antigen, DRB1-3 chain	Tbio	HLA-DRB1	P01912	6p21.32
HLA class II histocompatibility antigen, DRB1-8 beta chain	Tbio	HLA-DRB1	Q30134	6p21.32
HLA class II histocompatibility antigen, DRB1-9 beta chain	Tbio	HLA-DRB1	Q9TQE0	6p21.32
HLA class II histocompatibility antigen, DRB1-12 beta chain	Tbio	HLA-DRB1	Q95IE3	6p21.32
HLA class II histocompatibility antigen, DRB1-13 beta chain	Tbio	HLA-DRB1	Q5Y7A7	6p21.32
Autophagy-related protein 16-2	Tbio	ATG16L2	Q8NAA4	11q13.4
Alpha-1B-glycoprotein	Tbio	A1BG	P04217	19q13.43
APOBEC1 complementation factor	Tbio	A1CF	Q9NQ94	10q11.23
Putative ankyrin repeat domain-containing protein 20A12 pseudogene	Tdark	ANKRD20A12P	Q8NF67	4
Ankyrin repeat domain-containing protein 20A2	Tdark	ANKRD20A2	Q5SQ80	9p11.2
Ataxin-7-like protein 3B	Tdark	ATXN7L3B	Q96GX2	12q21.1
Arylacetamide deacetylase	Tbio	AADAC	P22760	3q25.1
Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial	Tchem	AADAT	Q8N5Z0	4q33
AP2-associated protein kinase 1	Tchem	AAK1	Q2M2I8	2p13.3
Alanine and arginine-rich domain-containing protein	Tdark	AARD	Q4LEZ3	8q24.11
Alanyl-tRNA editing protein Aarsd1	Tdark	AARSD1	Q9BTE6	17q21.31
DNA dC->dU-editing enzyme APOBEC-3A	Tbio	APOBEC3A	P31941	22q13.1
DNA dC->dU-editing enzyme APOBEC-3D	Tbio	APOBEC3D	Q96AK3	22q13.1
ATP-binding cassette sub-family A member 1	Tclin	ABCA1	O95477	9q31.1
ATP-binding cassette sub-family B member 10, mitochondrial	Tbio	ABCB10	Q9NRK6	1q42.13
ATP-binding cassette sub-family C member 8	Tclin	ABCC8	Q09428	11p15.1
ATP-binding cassette sub-family G member 8	Tbio	ABCG8	Q9H221	2p21
Protein ABHD4	Tdark	ABHD4	Q8TB40	14q11.2
Protein ABHD13	Tdark	ABHD13	Q7L211	13q33.3
Active breakpoint cluster region-related protein	Tbio	ABR	Q12979	17p13.3
Ankyrin repeat and BTB/POZ domain-containing protein 1	Tbio	ABTB1	Q969K4	3q21.3
Atypical chemokine receptor 1	Tbio	ACKR1	Q16570	1q23.2
Atypical chemokine receptor 4	Tbio	ACKR4	Q9NPB9	3q22.1
Acrosin-binding protein	Tbio	ACRBP	Q8NEB7	12p13.31
Acyl-coenzyme A synthetase ACSM2B, mitochondrial	Tdark	ACSM2B	Q68CK6	16p12.3
Acetyl-coenzyme A synthetase, cytoplasmic	Tbio	ACSS2	Q9NR19	20q11.22
Long-chain-fatty-acid--CoA ligase 3	Tbio	ACSL3	O95573	2q36.1
Long-chain-fatty-acid--CoA ligase 4	Tbio	ACSL4	O60488	Xq23
Acyl-coenzyme A synthetase ACSM5, mitochondrial	Tdark	ACSM5	Q6NUN0	16p12.3
Actin, cytoplasmic 1	Tbio	ACTB	P60709	7p22.1
Actin, alpha cardiac muscle 1	Tbio	ACTC1	P68032	15q14
Actin, cytoplasmic 2	Tbio	ACTG1	P63261	17q25.3
Adrenocorticotropic hormone receptor	Tclin	MC2R	Q01718	18p11.2
Actin, gamma-enteric smooth muscle	Tbio	ACTG2	P63267	2p13.1
Actin-like protein 9	Tdark	ACTL9	Q8TC94	19p13.2
Alpha-actinin-4	Tbio	ACTN4	O43707	19q13.2
Adenosine deaminase 2	Tbio	ADA2	Q9NZK5	22q11.1
Putative disintegrin and metalloproteinase domain-containing protein 5	Tdark	ADAM5	Q6NVV9	8p11.22
Disintegrin and metalloproteinase domain-containing protein 7	Tdark	ADAM7	Q9H2U9	8p21.2
Disintegrin and metalloproteinase domain-containing protein 9	Tchem	ADAM9	Q13443	8p11.22
Arf-GAP with dual PH domain-containing protein 1	Tbio	ADAP1	O75689	7p22.3
Putative uncharacterized protein ADARB2-AS1	Tdark	ADARB2-AS1	A8MUL3	10p15.3
Alkyldihydroxyacetonephosphate synthase, peroxisomal	Tbio	AGPS	O00116	2q31.2
Neuronal acetylcholine receptor subunit alpha-3	Tclin	CHRNA3	P32297	15q25.1
Neuronal acetylcholine receptor subunit alpha-9	Tchem	CHRNA9	Q9UGM1	4p14
Acetylcholine receptor subunit delta	Tclin	CHRND	Q07001	2q37.1
Acetylcholine receptor subunit epsilon	Tclin	CHRNE	Q04844	17p13.2
Acetylcholine receptor subunit gamma	Tclin	CHRNG	P07510	2q37.1
Activated CDC42 kinase 1	Tchem	TNK2	Q07912	3q29
Atypical chemokine receptor 3	Tchem	ACKR3	P25106	2q37.3
Actin-like protein 10	Tdark	ACTL10	Q5JWF8	20q11.22
Actin-like protein 6A	Tbio	ACTL6A	O96019	3q26.33
Actin-like protein 6B	Tbio	ACTL6B	O94805	7q22.1
Acyl-coenzyme A thioesterase 12	Tbio	ACOT12	Q8WYK0	5q14.1
Acyl-coenzyme A thioesterase 13	Tbio	ACOT13	Q9NPJ3	6p22.3
Aconitate hydratase, mitochondrial	Tbio	ACO2	Q99798	22q13.2
Putative acyl-coenzyme A thioesterase 6	Tdark	ACOT6	Q3I5F7	14q24.3
Acyl-coenzyme A thioesterase 8	Tbio	ACOT8	O14734	20q13.12
Activin receptor type-1C	Tbio	ACVR1C	Q8NER5	2q24.1
Disintegrin and metalloproteinase domain-containing protein 32	Tdark	ADAM32	Q8TC27	8p11.22
Disintegrin and metalloproteinase domain-containing protein 33	Tchem	ADAM33	Q9BZ11	20p13
Adenosine deaminase domain-containing protein 2	Tdark	ADAD2	Q8NCV1	16q24.1
Disintegrin and metalloproteinase domain-containing protein 2	Tbio	ADAM2	Q99965	8p11.22
Disintegrin and metalloproteinase domain-containing protein 8	Tchem	ADAM8	P78325	10q26.3
Arf-GAP with dual PH domain-containing protein 2	Tbio	ADAP2	Q9NPF8	17q11.2
Adenylate cyclase type 7	Tbio	ADCY7	P51828	16q12.1
Adenylate cyclase type 10	Tchem	ADCY10	Q96PN6	1q24.2
Beta-adducin	Tbio	ADD2	P35612	2p13.3
ADAM DEC1	Tbio	ADAMDEC1	O15204	8p21.2
Androglobin	Tdark	ADGB	Q8N7X0	6q24.3
Alcohol dehydrogenase 1A	Tclin	ADH1A	P07327	4q23
Alcohol dehydrogenase 1B	Tclin	ADH1B	P00325	4q23
Alcohol dehydrogenase 1C	Tclin	ADH1C	P00326	4q23
Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	Tbio	AIMP2	Q13155	7p22.1
Proline-rich AKT1 substrate 1	Tchem	AKT1S1	Q96B36	19q13.33
Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase	Tdark	ALG3	Q92685	3q27.1
Nucleic acid dioxygenase ALKBH1	Tbio	ALKBH1	Q13686	14q24.3
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	Tchem	ALKBH3	Q96Q83	11p11.2
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial	Tbio	ALKBH7	Q9BT30	19p13.3
Alkylated DNA repair protein alkB homolog 8	Tbio	ALKBH8	Q96BT7	11q22.3
ALK and LTK ligand 1	Tbio	ALKAL1	Q6UXT8	8q11.23
ALK tyrosine kinase receptor	Tclin	ALK	Q9UM73	2p23.2-p23.1
Probable allantoicase	Tdark	ALLC	Q8N6M5	2p25.3
Ameloblastin	Tbio	AMBN	Q9NP70	4q13.3
AMME syndrome candidate gene 1 protein	Tbio	AMMECR1	Q9Y4X0	Xq23
Aminopeptidase B	Tchem	RNPEP	Q9H4A4	1q32.1
Activating molecule in BECN1-regulated autophagy protein 1	Tbio	AMBRA1	Q9C0C7	11p11.2
Alpha-amylase 1	Tchem	AMY1C	P04745	1p21.1
Alpha-amylase 2B	Tbio	AMY2B	P19961	1p21.1
Archaemetzincin-2	Tdark	AMZ2	Q86W34	17q24.2
Ankyrin repeat domain-containing protein 13A	Tdark	ANKRD13A	Q8IZ07	12q24.11
Ankyrin repeat domain-containing protein 13C	Tbio	ANKRD13C	Q8N6S4	1p31.1
Ankyrin repeat domain-containing protein 20B	Tdark	ANKRD20A8P	Q5CZ79	2q11.1
Acidic leucine-rich nuclear phosphoprotein 32 family member B	Tbio	ANP32B	Q92688	9q22.33
Ankyrin repeat domain-containing protein 33B	Tdark	ANKRD33B	A6NCL7	5p15.2
Anaphase-promoting complex subunit 2	Tbio	ANAPC2	Q9UJX6	9q34.3
Angiopoietin-related protein 6	Tbio	ANGPTL6	Q8NI99	19p13.2
Angiopoietin-related protein 7	Tbio	ANGPTL7	O43827	1p36.22
Angiopoietin-1	Tbio	ANGPT1	Q15389	8q23.1
Angiopoietin-2	Tbio	ANGPT2	O15123	8p23.1
Angiopoietin-4	Tbio	ANGPT4	Q9Y264	20p13
Ankyrin-1	Tbio	ANK1	P16157	8p11.21
Ankyrin-2	Tbio	ANK2	Q01484	4q25-q26
Ankyrin repeat and fibronectin type-III domain-containing protein 1	Tdark	ANKFN1	Q8N957	17q22
Ankyrin repeat and KH domain-containing protein 1	Tbio	ANKHD1	Q8IWZ3	5q31.3
Ankyrin repeat and LEM domain-containing protein 2	Tbio	ANKLE2	Q86XL3	12q24.33
Ankyrin repeat domain-containing protein 2	Tbio	ANKRD2	Q9GZV1	10q24.2
Ankyrin repeat domain-containing protein 9	Tdark	ANKRD9	Q96BM1	14q32.31
Ankyrin repeat and MYND domain-containing protein 2	Tdark	ANKMY2	Q8IV38	7p21.1
Anillin	Tbio	ANLN	Q9NQW6	7p14.2
14-3-3 protein gamma	Tbio	YWHAG	P61981	7q11.23
14-3-3 protein zeta/delta	Tbio	YWHAZ	P63104	8q22.3
HLA class I histocompatibility antigen, A-2 alpha chain	Tbio	HLA-A	P01892	6p22.1
Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2	Tdark	ACCSL	Q4AC99	11p11.2
HLA class I histocompatibility antigen, A-25 alpha chain	Tbio	HLA-A	P18462	6p22.1
HLA class I histocompatibility antigen, A-26 alpha chain	Tbio	HLA-A	P30450	6p22.1
HLA class I histocompatibility antigen, A-29 alpha chain	Tbio	HLA-A	P30512	6p22.1
HLA class I histocompatibility antigen, A-30 alpha chain	Tbio	HLA-A	P16188	6p22.1
HLA class I histocompatibility antigen, A-31 alpha chain	Tbio	HLA-A	P16189	6p22.1
HLA class I histocompatibility antigen, A-36 alpha chain	Tbio	HLA-A	P30455	6p22.1
HLA class I histocompatibility antigen, A-69 alpha chain	Tbio	HLA-A	P10316	6p22.1
HLA class I histocompatibility antigen, A-80 alpha chain	Tbio	HLA-A	Q09160	6p22.1
HLA class I histocompatibility antigen, B-58 alpha chain	Tbio	HLA-B	P10319	6p21.33
HLA class I histocompatibility antigen, B-59 alpha chain	Tbio	HLA-B	Q29940	6p21.33
HLA class I histocompatibility antigen, B-73 alpha chain	Tbio	HLA-B	Q31612	6p21.33
HLA class I histocompatibility antigen, B-78 alpha chain	Tbio	HLA-B	P30498	6p21.33
HLA class I histocompatibility antigen, B-81 alpha chain	Tbio	HLA-B	Q31610	6p21.33
HLA class I histocompatibility antigen, B-82 alpha chain	Tbio	HLA-B	Q29718	6p21.33
HLA class I histocompatibility antigen, Cw-1 alpha chain	Tbio	HLA-C	P30499	6p21.33
HLA class I histocompatibility antigen, Cw-8 alpha chain	Tbio	HLA-C	P30505	6p21.33
HLA class I histocompatibility antigen, Cw-12 alpha chain	Tbio	HLA-C	P30508	6p21.33
HLA class I histocompatibility antigen, Cw-14 alpha chain	Tbio	HLA-C	P30510	6p21.33
HLA class I histocompatibility antigen, Cw-16 alpha chain	Tbio	HLA-C	Q29960	6p21.33
HLA class I histocompatibility antigen, Cw-17 alpha chain	Tbio	HLA-C	Q95604	6p21.33
2-amino-3-carboxymuconate-6-semialdehyde decarboxylase	Tbio	ACMSD	Q8TDX5	2q21.3
Acylamino-acid-releasing enzyme	Tchem	APEH	P13798	3p21.31
Long-chain-fatty-acid--CoA ligase 1	Tbio	ACSL1	P33121	4q35.1
Long-chain-fatty-acid--CoA ligase 6	Tbio	ACSL6	Q9UKU0	5q31.1
Acyl-coenzyme A synthetase ACSM6, mitochondrial	Tdark	ACSM6	Q6P461	10q23.33
Alpha-actinin-3	Tbio	ACTN3	Q08043	11q13.2
Activin receptor type-1B	Tchem	ACVR1B	P36896	12q13.13
Serine/threonine-protein kinase receptor R3	Tchem	ACVRL1	P37023	12q13.13
Disintegrin and metalloproteinase domain-containing protein 12	Tchem	ADAM12	O43184	10q26.2
Disintegrin and metalloproteinase domain-containing protein 15	Tbio	ADAM15	Q13444	1q21.3
Alpha-2B adrenergic receptor	Tclin	ADRA2B	P18089	2q11.2
Disintegrin and metalloproteinase domain-containing protein 30	Tdark	ADAM30	Q9UKF2	1p12
Adenosine deaminase domain-containing protein 1	Tbio	ADAD1	Q96M93	4q27
Adenosine deaminase-like protein	Tbio	ADAL	Q6DHV7	15q15.3
tRNA-specific adenosine deaminase 1	Tbio	ADAT1	Q9BUB4	16q23.1
Arylacetamide deacetylase-like 2	Tdark	AADACL2	Q6P093	3q25.1
Adenylate cyclase type 2	Tbio	ADCY2	Q08462	5p15.31
Adenylate cyclase type 3	Tbio	ADCY3	O60266	2p23.3
Adenylate cyclase type 8	Tbio	ADCY8	P40145	8q24.22
Adenylate cyclase type 9	Tbio	ADCY9	O60503	16p13.3
Alcohol dehydrogenase 4	Tbio	ADH4	P08319	4q23
Alcohol dehydrogenase class 4 mu/sigma chain	Tchem	ADH7	P40394	4q23
Adipogenin	Tdark	ADIG	Q0VDE8	20q11.23
Adiponectin	Tbio	ADIPOQ	Q15848	3q27.3
